Mock_1,Mock_2,Mock_3,dCC_MeCP2_1,dCC_MeCP2_2,dCC_MeCP2_3,dCC_scramble_1,dCC_scramble_2,dCC_scramble_3
4.40998722,1.222664401,0,0,4.500940868,0,2.857597176,0.851302324,2.064182264
538.0184408,388.8072795,485.1864048,367.5053882,621.8799965,478.0340886,493.411779,489.4988363,374.6490809
1.102496805,0,0,1.044049398,0.750156811,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1.222664401,2.413862711,2.088098797,1.500313623,0,0.952532392,0.851302324,0
0,0,0,0,0,0,0,0,0
1.102496805,0,0,0,0,0,0,0,0
11.02496805,8.558650807,7.241588132,1.044049398,0.750156811,12.43954877,6.667726743,14.47213951,4.128364528
0,2.445328802,0,0,0,0,0,0.851302324,0
0,0,0,0,0,0,0,0,0
4.40998722,8.558650807,3.620794066,2.088098797,1.500313623,6.219774387,0,1.702604648,2.064182264
16.53745207,29.34394562,21.7247644,14.61669158,19.50407709,23.99055835,14.28798588,18.72865113,21.67391377
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.888539198,0,0.851302324,0
7.717477634,1.222664401,8.448519487,7.308345788,15.00313623,14.21662717,2.857597176,8.51302324,2.064182264
0,0,0,0,0,0,0,0,0
26.45992332,19.56263042,42.24259744,22.96908676,31.50658607,30.21033273,36.19623089,32.34948831,41.28364528
0,0,0,0,0.750156811,0,0,0.851302324,1.032091132
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2.413862711,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.750156811,0,0,0,0
0,0,1.206931355,0,0,0,0,0,0
0,2.445328802,0,4.176197593,6.00125449,0,2.857597176,1.702604648,1.032091132
0,0,0,0,0,0,0.952532392,0,0
2.20499361,2.445328802,2.413862711,2.088098797,3.000627245,5.331235188,8.572791527,5.107813944,8.256729056
66.1498083,79.47318607,80.86440081,97.09659405,86.26803329,119.9527917,108.5886927,120.88493,117.658389
585.4258034,583.2109193,611.9141971,593.0200583,690.1442664,782.8030335,611.5257956,587.3986036,667.7629624
2.20499361,6.113322005,2.413862711,6.26429639,6.00125449,5.331235188,0.952532392,4.25651162,3.096273396
0,0,0,0,0,0,0,0,0
28.66491693,45.23858284,36.20794066,24.01313616,41.25862462,47.9811167,29.52850415,40.86251155,46.44410094
2174.123699,3572.62538,3607.517821,3441.186817,1915.900496,2153.819016,2240.356186,2648.40153,2762.90796
3.307490415,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5.512484025,1.222664401,4.827725421,5.220246992,9.001881735,3.554156792,16.19305066,11.06693021,7.224637924
113.5571709,79.47318607,83.27826352,97.09659405,86.26803329,98.62785099,123.829211,131.1005579,80.50310829
58.43233066,69.69187086,82.07133216,57.42271691,39.758311,64.86336146,73.34499418,73.21199986,77.4068349
3.307490415,1.222664401,0,1.044049398,0,0,2.857597176,0,4.128364528
14.33245846,19.56263042,16.89703897,34.45363015,10.50219536,13.32808797,15.24051827,17.8773488,17.54554924
0,1.222664401,1.206931355,0,2.250470434,4.44269599,0,0,2.064182264
127.8896294,121.0437757,65.17429319,130.5061748,126.0263443,118.1757133,140.0222616,159.1935346,148.621123
175.296992,168.7276873,214.8337812,173.3122001,189.0395164,249.6795147,229.5603065,228.1490228,212.6107732
5.512484025,7.335986406,15.69010762,9.396444585,3.000627245,4.44269599,16.19305066,7.661720916,14.44927585
4.40998722,4.890657604,4.827725421,1.044049398,1.500313623,4.44269599,6.667726743,4.25651162,3.096273396
0,0,0,0,0,0,0,0,0
11.02496805,6.113322005,7.241588132,4.176197593,7.501568113,19.54786236,10.47785631,10.21562789,19.60973151
94.81472522,77.02785727,66.38122454,87.70014946,75.76583794,63.97482226,71.43992939,40.86251155,53.66873886
278.9316916,338.6780391,294.4912507,319.4791159,297.8122541,390.068708,377.2028272,259.6472088,299.3064283
0,1.222664401,0,0,0.750156811,1.777078396,0,4.25651162,9.288820188
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
28.66491693,22.00795922,26.55248982,18.79288917,12.00250898,35.54156792,21.90824501,17.8773488,17.54554924
83.78975717,107.5944673,86.89905758,46.98222293,113.2736785,92.4080766,83.82285049,65.55027895,94.95238414
4.40998722,0,0,0,0.750156811,0,0,9.364325564,5.16045566
766.2352794,673.688085,770.0222047,652.530874,744.1555568,640.6367618,883.9500597,811.2911148,591.3882186
697.8804775,413.2605676,568.4646683,436.4126485,774.911986,577.5504788,678.2030631,580.588185,533.5911152
33.07490415,19.56263042,18.10397033,13.57264218,29.25611564,18.65932316,36.19623089,9.364325564,6.192546792
3751.796627,2812.128122,3071.640299,3000.597971,3685.520414,3441.312314,3602.477506,3578.87497,3512.206122
1342.841108,1067.386022,1191.241248,1017.948163,1402.793237,1382.566992,1321.162428,1225.875347,1138.396519
17.63994888,17.11730161,10.8623822,9.396444585,23.25486115,22.21347995,28.57597176,12.76953486,6.192546792
6.61498083,11.00397961,2.413862711,9.396444585,5.251097679,9.773931179,0,3.405209296,1.032091132
170.8870048,86.80917247,94.14064571,84.56800127,183.0382619,166.15683,158.1203771,119.1823254,118.6904802
4813.50105,2930.726569,3793.38525,3268.918666,4375.66468,4217.007034,3655.81932,3495.447342,3074.599482
27.56242012,44.01591844,48.27725421,17.74883977,42.75893824,31.09887193,19.05064784,35.75469761,38.18737188
62.84231788,50.12924044,85.69212623,39.67387714,60.76270171,55.08943028,52.38928156,45.9703255,36.12318962
83.78975717,83.14117927,127.9347237,79.34775427,104.2717968,128.8381837,95.25323919,97.04846494,91.85611075
3368.127739,2705.756319,3054.74326,3041.315897,3675.768375,3576.370272,3532.942642,3368.603296,2903.272354
0,0,0,0,0,0,0,0,0
100.3272092,74.58252846,53.10497963,106.4930386,119.274933,103.070547,92.39564202,97.89976726,83.59938169
3.307490415,2.445328802,0,0,9.752038546,2.665617594,16.19305066,11.06693021,0
0,0,0,6.26429639,1.500313623,0,1.905064784,1.702604648,0
621.808198,536.7496721,494.8418557,470.8662787,633.8825055,602.4295763,560.0890465,628.2611151,492.30747
0,0,0,0,0,0,1.905064784,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1.222664401,0,0,0,0,0,0,0
1.102496805,1.222664401,0,0,0,0,0.952532392,0,0
0,1.222664401,2.413862711,0,0.750156811,6.219774387,1.905064784,4.25651162,0
0,0,0,0,3.000627245,1.777078396,0,8.51302324,4.128364528
1964.649306,1543.002474,1750.050465,1662.126642,1941.405828,1959.228932,1703.127917,1969.062275,1764.875836
1143.289187,844.8611011,1001.753025,858.2086054,868.6815874,931.1890796,931.5766793,1070.087021,983.5828488
60.63732427,50.12924044,67.5881559,41.76197593,75.01568113,58.64358707,67.62979983,54.48334874,38.18737188
24.25492971,9.781315208,9.655450842,10.44049398,19.50407709,15.10516637,20.95571262,20.43125578,5.16045566
896.3299024,846.0837655,849.6796741,773.6406042,1101.230199,926.7463836,902.0481752,926.2169285,848.3789105
92.60973161,63.57854885,26.55248982,51.15842052,93.0194446,80.85706703,84.77538288,62.14506965,71.21428811
538.0184408,452.3858284,493.6349243,488.6151184,624.130467,549.1172244,611.5257956,464.8110689,495.4037433
1671.385156,1275.23897,1407.28196,1187.084166,1871.641244,1475.863608,1706.938046,1561.288462,1342.750563
876.4849599,701.8093662,848.4727428,641.0463306,787.6646518,875.2111101,832.5133105,752.5512544,661.5704156
2559.997581,2195.905264,2425.932024,2036.940376,2721.568911,2523.451323,2588.983041,2558.163484,2287.113948
110.2496805,128.3797621,126.7277923,65.7751121,133.5279124,97.73931179,145.737456,140.4648835,90.82401961
424.4612699,324.0060663,388.6318964,347.6684496,420.0878143,420.2790407,438.1649003,391.599069,359.1677139
9.922471244,13.44930841,14.48317626,1.044049398,27.75580202,13.32808797,76.20259135,17.02604648,35.09109849
2697.809682,1940.368404,2126.613048,2084.966648,2914.359212,2491.463911,2363.232864,2348.743112,2088.952451
424.4612699,248.2008734,389.8388278,252.6599544,457.5956549,306.5460233,391.4908131,322.6435808,262.1511475
1545.70052,937.7835956,969.1658783,957.3932983,1727.611136,1187.976908,1063.978682,1239.496184,1138.396519
0,3.667993203,2.413862711,0,3.750784056,2.665617594,0.952532392,0,0
5589.658801,5585.130984,5611.023871,5594.016676,5878.228773,5253.932278,5565.646766,5530.911199,5586.709297
