num,logFC,logCPM,PValue
41,0.046734288,7.741927788,0.802489046
67,0.085700797,8.060647985,0.44427179
72,-0.20749192,8.203091492,0.174579836
76,-0.061882934,8.001230421,0.58138682
91,-0.024643754,7.155028437,0.833774062
100,0.03625818,7.585196199,0.758126535
104,-0.134122522,7.52915825,0.332951097
108,0.005676889,8.779812895,0.944874879
120,0.19579635,7.086504446,0.201290074
122,-0.120942834,7.353535077,0.134636013
132,0.034539525,7.364899166,0.71537835
140,0.004301643,7.416055735,0.960188006
141,-0.01287313,9.317259025,0.865533076
157,0.073071036,7.598719978,0.486201039
230,-0.226184528,9.154443087,0.063441928
233,0.011776908,8.110752424,0.881002343
267,-0.104702405,7.450700956,0.292507421
274,-0.164367994,7.773691988,0.237014246
297,-0.291255962,11.55708843,0.009521796
325,0.02428275,8.005604609,0.793593765
337,0.178237405,7.391729082,0.031095335
341,0.025896298,8.193167562,0.747586123
346,-0.004159313,8.079428868,0.95890956
351,-0.058553964,8.606873587,0.45141417
362,-0.103687015,8.835498102,0.176346979
365,0.084664121,7.994088751,0.350038262
366,-0.036081981,7.744801823,0.651191676
369,0.117382861,8.182484745,0.120417073
399,-0.026053898,7.842406923,0.749624494
411,-0.07745725,7.23148263,0.408986345
502,-0.06264578,7.37016632,0.451415053
516,-0.071543907,10.14425048,0.462558816
540,-0.060241071,7.232629445,0.675675621
589,0.044841778,8.821789062,0.594941219
610,0.108793173,9.310110199,0.156453922
613,0.142727994,7.576446921,0.072913742
622,0.078450057,7.482083623,0.343160444
659,-0.029967035,8.585793046,0.715473196
664,-0.043605529,8.805383179,0.565579788
666,0.072490974,8.408489747,0.309036391
688,-0.054978624,7.926813343,0.518763399
703,-0.03337915,8.328770946,0.665513542
724,0.036067536,8.389988455,0.631849664
735,0.053076339,8.931713742,0.5124763
748,-0.164822832,9.713487821,0.3752644
786,-0.120584197,8.851480798,0.163897733
788,0.234190742,8.746739317,0.042066346
815,-0.074645801,7.913938723,0.387060049
825,0.049792103,8.956353498,0.533246462
858,-0.002098911,9.852138935,0.980014458
868,0.184280663,7.841637827,0.020589122
877,0.033314895,7.307898154,0.830828311
891,-0.020772337,7.217669642,0.827336335
903,0.013544021,8.107722402,0.876690526
918,0.110639876,7.145948291,0.251583642
926,0.078625401,7.891845552,0.354057329
930,-0.15447522,7.174055899,0.094862044
939,-0.001607124,8.217458959,0.98711275
942,-0.252655025,7.178227078,0.185122468
945,0.757281551,8.14228523,3.48E-14
947,0.052991808,7.588786952,0.53506839
951,-0.084139107,8.116172417,0.345723652
952,-0.108257059,7.61946532,0.205840548
965,0.003759019,7.957281613,0.962555219
