#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIF1	TYROBP	9606.ENSP00000365227	9606.ENSP00000262629	0	0	0	0	0.833	0	0	0.675	0.943
AIF1	CSF1R	9606.ENSP00000365227	9606.ENSP00000286301	0	0	0	0	0.384	0	0	0.778	0.857
AIF1	P2RY12	9606.ENSP00000365227	9606.ENSP00000307259	0	0	0	0	0.140	0	0	0.718	0.747
AIF1	C1QB	9606.ENSP00000365227	9606.ENSP00000313967	0	0	0	0	0.230	0.075	0	0.371	0.513
AIF1	CX3CR1	9606.ENSP00000365227	9606.ENSP00000351059	0	0	0	0	0.177	0	0	0.772	0.804
AIF1	RGS10	9606.ENSP00000365227	9606.ENSP00000358099	0	0	0	0	0.087	0.046	0	0.433	0.463
AIF1	HLA-DMB	9606.ENSP00000365227	9606.ENSP00000398890	0	0	0	0	0.303	0.125	0	0.125	0.420
AIF1	ITGB2	9606.ENSP00000365227	9606.ENSP00000380948	0	0	0	0	0.581	0	0	0.358	0.720
ALDH1A3	CD24	9606.ENSP00000332256	9606.ENSP00000481841	0	0	0	0	0.048	0	0	0.516	0.519
ALOX5AP	TYROBP	9606.ENSP00000479870	9606.ENSP00000262629	0	0	0	0	0.545	0	0	0.159	0.601
ALOX5AP	ITGB2	9606.ENSP00000479870	9606.ENSP00000380948	0	0	0	0	0.476	0	0	0.232	0.580
C1QB	TYROBP	9606.ENSP00000313967	9606.ENSP00000262629	0	0	0	0	0.544	0	0	0.689	0.852
C1QB	CSF1R	9606.ENSP00000313967	9606.ENSP00000286301	0	0	0	0	0.659	0	0	0.378	0.779
C1QB	SLCO2B1	9606.ENSP00000313967	9606.ENSP00000289575	0	0	0	0	0.393	0	0	0.096	0.427
C1QB	CX3CR1	9606.ENSP00000313967	9606.ENSP00000351059	0	0	0	0	0.102	0	0	0.396	0.434
C1QB	HLA-DMB	9606.ENSP00000313967	9606.ENSP00000398890	0	0	0	0	0.305	0.107	0	0.291	0.521
C1QB	ITGB2	9606.ENSP00000313967	9606.ENSP00000380948	0	0	0	0	0.261	0.045	0	0.620	0.708
CD24	CSF1R	9606.ENSP00000481841	9606.ENSP00000286301	0	0	0	0	0.053	0	0	0.407	0.414
CSF1R	TYROBP	9606.ENSP00000286301	9606.ENSP00000262629	0	0	0	0	0.806	0	0	0.816	0.962
CSF1R	HLA-DMB	9606.ENSP00000286301	9606.ENSP00000398890	0	0	0	0	0.459	0	0	0.182	0.539
CSF1R	P2RY12	9606.ENSP00000286301	9606.ENSP00000307259	0	0	0	0	0.182	0	0	0.714	0.756
CSF1R	CX3CR1	9606.ENSP00000286301	9606.ENSP00000351059	0	0	0	0	0.305	0	0	0.774	0.836
CSF1R	ITGB2	9606.ENSP00000286301	9606.ENSP00000380948	0	0	0	0	0.513	0.063	0	0.722	0.862
CX3CR1	TYROBP	9606.ENSP00000351059	9606.ENSP00000262629	0	0	0	0	0.208	0	0	0.725	0.773
CX3CR1	P2RY12	9606.ENSP00000351059	9606.ENSP00000307259	0	0	0	0.607	0.201	0	0	0.550	0.625
CX3CR1	ITGB2	9606.ENSP00000351059	9606.ENSP00000380948	0	0	0	0	0.203	0	0	0.447	0.540
HLA-DMB	TYROBP	9606.ENSP00000398890	9606.ENSP00000262629	0	0	0	0	0.405	0	0	0.217	0.514
HLA-DMB	ITGB2	9606.ENSP00000398890	9606.ENSP00000380948	0	0	0	0	0.345	0	0	0.160	0.426
ITGB2	TYROBP	9606.ENSP00000380948	9606.ENSP00000262629	0	0	0	0	0.921	0	0	0.659	0.972
P2RY12	TYROBP	9606.ENSP00000307259	9606.ENSP00000262629	0	0	0	0	0.162	0	0	0.644	0.689
RGS10	TYROBP	9606.ENSP00000358099	9606.ENSP00000262629	0	0	0	0	0.174	0	0	0.423	0.503
