,logFC,logCPM,PValue,FDR
46373,-4.44059244,10.58329681,1.80E-175,4.94E-172
945,-0.60819405,8.14228523,1.03E-09,1.42E-06
36026,0.520885854,10.3694383,3.28E-09,3.00E-06
23653,0.681280365,9.698507727,6.33E-09,4.34E-06
9453,0.66944515,7.287327881,1.70E-07,9.32E-05
15687,0.515152483,7.779479628,3.45E-07,0.000157946
38928,-0.404807964,10.54759228,7.22E-07,0.000283152
8577,0.582824132,6.96037123,1.62E-06,0.000465747
14753,0.581001487,7.072794262,1.67E-06,0.000465747
46883,-0.418128754,9.201264081,1.70E-06,0.000465747
44540,-0.453714593,7.791657986,2.14E-06,0.000533739
23997,0.448193598,7.382741815,2.57E-06,0.000586889
2865,-0.496590368,7.211896425,9.78E-06,0.002065433
30838,0.553659157,8.057375733,2.08E-05,0.004080253
40734,-0.410715561,7.739614277,2.26E-05,0.004128061
28148,0.525543301,8.429290303,4.06E-05,0.006957504
6783,0.427487779,7.415496449,4.81E-05,0.007771549
35473,0.305285855,8.287414596,6.06E-05,0.009243017
14365,-0.556477213,7.496142228,6.53E-05,0.009439072
52786,-0.317655722,8.98044569,8.26E-05,0.011342705
46939,-0.329914696,8.378120968,0.000214743,0.028069966
35287,0.460388966,8.812215794,0.000225804,0.028174169
37717,-0.337529209,8.946514561,0.000307167,0.036659667
33653,0.502632873,7.73745857,0.000338041,0.038663389
31989,0.471447997,7.697276663,0.000378019,0.041506465
52283,-0.37872536,7.63501132,0.000672833,0.071035677
40423,0.302370568,7.565110319,0.000704657,0.071640091
34624,-0.348216281,8.24031532,0.000804589,0.078878492
16136,0.322101189,7.632411471,0.00083694,0.079220675
24938,-0.340869121,7.264441069,0.000925196,0.084655396
32539,0.303770784,9.830994426,0.001224385,0.10841728
31088,0.261105121,8.617423415,0.001606608,0.137816803
35525,0.313124459,7.471280751,0.002143296,0.178283299
31950,-0.359386724,7.024463655,0.002498364,0.201706127
38769,0.244571736,11.53732119,0.002716724,0.213068782
45948,-0.249645815,7.471462727,0.003418459,0.260657527
1127,-0.239688091,9.672200288,0.003531814,0.262022382
57218,0.265105186,7.657499465,0.004662826,0.336827831
56607,-0.287065286,7.431503758,0.005436002,0.377443585
13072,0.334107119,10.10335008,0.005500089,0.377443585
