#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACP1	ACTB	9606.ENSP00000272067	9606.ENSP00000494750	0	0	0	0	0.072	0.329	0	0.144	0.421
ACTB	GFAP	9606.ENSP00000494750	9606.ENSP00000253408	0	0	0	0	0.058	0.062	0	0.727	0.738
ACTB	SNAP25	9606.ENSP00000494750	9606.ENSP00000254976	0	0	0	0	0	0.071	0	0.451	0.468
ACTB	CCT7	9606.ENSP00000494750	9606.ENSP00000258091	0	0	0	0	0.148	0.263	0.500	0.219	0.722
ACTB	NTRK2	9606.ENSP00000494750	9606.ENSP00000277120	0	0	0	0	0.073	0.070	0	0.529	0.558
ACTB	CSF1R	9606.ENSP00000494750	9606.ENSP00000286301	0	0	0	0	0.074	0	0	0.490	0.508
ACTB	MAP1B	9606.ENSP00000494750	9606.ENSP00000296755	0	0	0	0	0.044	0	0	0.584	0.585
ACTB	ANGPTL4	9606.ENSP00000494750	9606.ENSP00000301455	0	0	0	0	0	0.287	0	0.352	0.518
ACTB	CX3CR1	9606.ENSP00000494750	9606.ENSP00000351059	0	0	0	0	0.042	0	0	0.417	0.417
ACTB	PGAM1	9606.ENSP00000494750	9606.ENSP00000359991	0	0	0	0	0.265	0.068	0	0.320	0.494
ACTB	AIF1	9606.ENSP00000494750	9606.ENSP00000365227	0	0	0	0	0.061	0.126	0	0.725	0.754
ACTB	ITGB2	9606.ENSP00000494750	9606.ENSP00000380948	0	0	0	0	0.106	0.070	0	0.645	0.679
ACTB	STMN1	9606.ENSP00000494750	9606.ENSP00000410452	0	0	0	0	0.056	0.092	0	0.379	0.422
ACTB	ACTG1	9606.ENSP00000494750	9606.ENSP00000458162	0	0	0.047	0.987	0.778	0.983	0.900	0.795	0.999
ACTB	CD24	9606.ENSP00000494750	9606.ENSP00000481841	0	0	0	0	0.048	0	0	0.541	0.544
ACTB	SNCA	9606.ENSP00000494750	9606.ENSP00000500990	0	0	0	0	0.073	0.300	0	0.518	0.661
ACTB	ALDOA	9606.ENSP00000494750	9606.ENSP00000496166	0	0	0	0	0.335	0	0	0.688	0.784
ACTG1	CCT7	9606.ENSP00000458162	9606.ENSP00000258091	0	0	0	0	0.172	0.922	0	0.235	0.947
ACTG1	PGAM1	9606.ENSP00000458162	9606.ENSP00000359991	0	0	0	0	0.432	0.068	0	0.256	0.572
ACTG1	ALDOA	9606.ENSP00000458162	9606.ENSP00000496166	0	0	0	0	0.256	0	0	0.709	0.774
AIF1	GFAP	9606.ENSP00000365227	9606.ENSP00000253408	0	0	0	0	0	0	0	0.913	0.913
AIF1	SNAP25	9606.ENSP00000365227	9606.ENSP00000254976	0	0	0	0	0	0.113	0	0.396	0.441
AIF1	TYROBP	9606.ENSP00000365227	9606.ENSP00000262629	0	0	0	0	0.833	0	0	0.675	0.943
AIF1	NTRK2	9606.ENSP00000365227	9606.ENSP00000277120	0	0	0	0	0	0.099	0	0.419	0.454
AIF1	CSF1R	9606.ENSP00000365227	9606.ENSP00000286301	0	0	0	0	0.384	0	0	0.778	0.857
AIF1	P2RY12	9606.ENSP00000365227	9606.ENSP00000307259	0	0	0	0	0.140	0	0	0.718	0.747
AIF1	C1QB	9606.ENSP00000365227	9606.ENSP00000313967	0	0	0	0	0.230	0.075	0	0.371	0.513
AIF1	CX3CR1	9606.ENSP00000365227	9606.ENSP00000351059	0	0	0	0	0.177	0	0	0.772	0.804
AIF1	RGS10	9606.ENSP00000365227	9606.ENSP00000358099	0	0	0	0	0.087	0.046	0	0.433	0.463
AIF1	C1QC	9606.ENSP00000365227	9606.ENSP00000363770	0	0	0	0	0.406	0	0	0.561	0.728
